"workerid","tested_on","response","check_index","property","correct","condition"
0,1,1,0,"sleep during the day",1,"memory_check"
0,0,0,1,"have long legs",1,"memory_check"
0,0,0,2,"have infected scales",1,"memory_check"
0,1,1,3,"fly into building windows",1,"memory_check"
0,1,1,4,"sing beautiful songs",1,"memory_check"
0,1,1,5,"play with bottlecaps",1,"memory_check"
0,0,0,6,"can see at night",1,"memory_check"
0,0,0,7,"have gold spots",1,"memory_check"
0,0,0,8,"eat plants",1,"memory_check"
0,1,1,9,"like to cuddle",1,"memory_check"
1,0,0,0,"have gold spots",1,"memory_check"
1,1,1,1,"lay eggs without needing fertilization",1,"memory_check"
1,1,1,2,"perform in the circus",1,"memory_check"
1,0,0,3,"eat plants",1,"memory_check"
1,1,1,4,"are afraid of loud noises",1,"memory_check"
1,0,0,5,"have long legs",1,"memory_check"
1,0,0,6,"have infected scales",1,"memory_check"
1,1,1,7,"feed on the carcasses of dead animals",1,"memory_check"
1,1,1,8,"go bald",1,"memory_check"
1,0,0,9,"can see at night",1,"memory_check"
2,1,0,0,"develop back problems",0,"memory_check"
2,0,1,1,"have long legs",0,"memory_check"
2,0,0,2,"have infected scales",1,"memory_check"
2,1,0,3,"transmit HIV",0,"memory_check"
2,1,0,4,"drink soda",0,"memory_check"
2,1,0,5,"transmit rabies",0,"memory_check"
2,1,0,6,"live to be twenty years old",0,"memory_check"
2,0,0,7,"have gold spots",1,"memory_check"
2,0,0,8,"eat plants",1,"memory_check"
2,0,0,9,"can see at night",1,"memory_check"
3,1,1,0,"swim in shallow pools",1,"memory_check"
3,1,1,1,"have seizures",1,"memory_check"
3,1,1,2,"carry Lyme disease",1,"memory_check"
3,0,0,3,"have long legs",1,"memory_check"
3,1,1,4,"get dandruff",1,"memory_check"
3,0,0,5,"can see at night",1,"memory_check"
3,0,0,6,"eat plants",1,"memory_check"
3,0,0,7,"have gold spots",1,"memory_check"
3,0,0,8,"have infected scales",1,"memory_check"
3,1,1,9,"like to cuddle",1,"memory_check"
4,1,1,0,"like to cuddle",1,"memory_check"
4,0,0,1,"have long legs",1,"memory_check"
4,1,1,2,"ride the subway",1,"memory_check"
4,0,0,3,"can see at night",1,"memory_check"
4,1,1,4,"live in zoos",1,"memory_check"
4,0,0,5,"eat plants",1,"memory_check"
4,0,0,6,"have gold spots",1,"memory_check"
4,0,0,7,"have infected scales",1,"memory_check"
4,1,1,8,"go bald",1,"memory_check"
4,1,1,9,"carry out premeditated murder",1,"memory_check"
5,1,1,0,"use tools",1,"memory_check"
5,1,1,1,"are intelligent",1,"memory_check"
5,0,0,2,"have gold spots",1,"memory_check"
5,1,1,3,"ride the subway",1,"memory_check"
5,0,0,4,"have infected scales",1,"memory_check"
5,1,1,5,"pound their chests to display dominance",1,"memory_check"
5,0,0,6,"can see at night",1,"memory_check"
5,0,0,7,"eat plants",1,"memory_check"
5,1,1,8,"eat candy wrappers",1,"memory_check"
5,0,0,9,"have long legs",1,"memory_check"
6,0,1,0,"eat plants",0,"memory_check"
6,1,1,1,"lay eggs without needing fertilization",1,"memory_check"
6,1,0,2,"eat people",0,"memory_check"
6,0,0,3,"have gold spots",1,"memory_check"
6,1,1,4,"get erections",1,"memory_check"
6,0,0,5,"can see at night",1,"memory_check"
6,1,1,6,"know when earthquakes are about to happen",1,"memory_check"
6,1,1,7,"have brown fur",1,"memory_check"
6,0,0,8,"have infected scales",1,"memory_check"
6,0,0,9,"have long legs",1,"memory_check"
7,1,1,0,"play with bottlecaps",1,"memory_check"
7,1,1,1,"steal farmers&quotechar crops",1,"memory_check"
7,0,0,2,"eat plants",1,"memory_check"
7,1,1,3,"torture other animals",1,"memory_check"
7,0,0,4,"have long legs",1,"memory_check"
7,0,0,5,"have infected scales",1,"memory_check"
7,0,0,6,"can see at night",1,"memory_check"
7,1,1,7,"know how to ride bicycles",1,"memory_check"
7,0,0,8,"have gold spots",1,"memory_check"
7,1,1,9,"live to be a hundred years old",1,"memory_check"
8,0,0,0,"have long legs",1,"memory_check"
8,1,1,1,"play with bottlecaps",1,"memory_check"
8,1,1,2,"chase their tails",1,"memory_check"
8,0,0,3,"have gold spots",1,"memory_check"
8,0,0,4,"eat plants",1,"memory_check"
8,0,0,5,"have infected scales",1,"memory_check"
8,0,0,6,"can see at night",1,"memory_check"
8,1,1,7,"live to be five hundred years old",1,"memory_check"
8,1,1,8,"live to be twenty years old",1,"memory_check"
8,1,1,9,"sing beautiful songs",1,"memory_check"
9,0,0,0,"can see at night",1,"memory_check"
9,1,1,1,"transmit rabies",1,"memory_check"
9,0,0,2,"have infected scales",1,"memory_check"
9,1,1,3,"torture other animals",1,"memory_check"
9,0,0,4,"have long legs",1,"memory_check"
9,1,1,5,"chase their tails",1,"memory_check"
9,0,0,6,"have gold spots",1,"memory_check"
9,1,1,7,"lay eggs without needing fertilization",1,"memory_check"
9,1,1,8,"sing beautiful songs",1,"memory_check"
9,0,0,9,"eat plants",1,"memory_check"
10,0,0,0,"have gold spots",1,"memory_check"
10,1,1,1,"carry out premeditated murder",1,"memory_check"
10,1,1,2,"are intelligent",1,"memory_check"
10,0,0,3,"can see at night",1,"memory_check"
10,1,1,4,"sing beautiful songs",1,"memory_check"
10,1,1,5,"transmit rabies",1,"memory_check"
10,0,0,6,"have long legs",1,"memory_check"
10,0,0,7,"have infected scales",1,"memory_check"
10,1,1,8,"go bald",1,"memory_check"
10,0,0,9,"eat plants",1,"memory_check"
11,0,0,0,"have gold spots",1,"memory_check"
11,1,1,1,"give birth underwater",1,"memory_check"
11,1,1,2,"have intensely beautiful feathers",1,"memory_check"
11,0,0,3,"have long legs",1,"memory_check"
11,0,0,4,"eat plants",1,"memory_check"
11,1,1,5,"drink soda",1,"memory_check"
11,1,1,6,"torture other animals",1,"memory_check"
11,0,0,7,"have infected scales",1,"memory_check"
11,1,1,8,"get erections",1,"memory_check"
11,0,0,9,"can see at night",1,"memory_check"
12,0,0,0,"have infected scales",1,"memory_check"
12,0,0,1,"can see at night",1,"memory_check"
12,1,1,2,"transmit HIV",1,"memory_check"
12,1,1,3,"experience emotions",1,"memory_check"
12,1,1,4,"have very long wings",1,"memory_check"
12,1,1,5,"eat garbage",1,"memory_check"
12,1,1,6,"sing beautiful songs",1,"memory_check"
12,0,0,7,"have gold spots",1,"memory_check"
12,0,0,8,"eat plants",1,"memory_check"
12,0,0,9,"have long legs",1,"memory_check"
13,1,1,0,"experience empathy",1,"memory_check"
13,0,0,1,"have infected scales",1,"memory_check"
13,1,1,2,"transmit HIV",1,"memory_check"
13,1,1,3,"carry Lyme disease",1,"memory_check"
